"","X","ntaxa","runs","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","Latitude","Longitude"
"1","Cape.Horn",64,49999,300.601887660453,256.112661311034,13.5799731317193,49748,3.27609089634381,0.99496,67.8460088423422,97.9013476295711,11.1600771236763,116,-2.69311210434791,0.00232,47.6573,-120.917
"2","Cape.Horn.North",44,49999,296.08299095651,256.11597488634,16.4092676552204,48763,2.43563679439739,0.97526,80.8411223406546,112.309158690617,14.6108621456762,585,-2.15374260849315,0.0117,47.66009,-120.9113
"3","Cape.Horn.South",62,49999,297.930571279812,256.140619055525,13.7926428158951,49614,3.02987272142845,0.99228,82.6529352573032,99.0605407242597,11.3931691097143,3533,-1.44012656258798,0.07066,47.65331,-120.9144
"4","Dewey.Peak",48,49999,362.759262115757,255.993567776697,15.7111224060838,50000,6.79554850248748,1,90.7534311356,108.799004995864,13.7768578353203,4508,-1.3098468515803,0.09016,46.8418,-121.4846
"5","Earl.Peak",47,49999,367.141880902894,256.157754752047,15.9001881186013,50000,6.98005113669122,1,93.6873739011425,109.670162553233,13.9295733435518,6163,-1.14739972703391,0.12326,47.4096,-120.8437
"6","Garland.Peak",57,49999,315.806979039734,256.069160849876,14.3684785592187,49947,4.1575604503742,0.99894,75.6852486700368,102.273143192832,12.0685322577127,501,-2.20307606219502,0.01002,48.0157,-120.7107
"7","Green.Mountain",59,49999,337.259562305751,256.205715444241,14.1651869961582,49999,5.72204566614564,0.99998,82.3878011783593,100.927711979661,11.7866796055854,2650,-1.57295450641724,0.053,48.2916,-121.2387
"8","Mt.Dickerman",79,49999,357.179771868295,256.082995253499,12.127140148938,50000,8.33640704842101,1,93.3071059698038,90.3457696303104,9.53018629398329,31387,0.31073226148402,0.62774,47.0687,-121.4704
"9","Mt.Howard",33,49999,304.262690440955,255.952787541428,18.994037291931,49016,2.54342466306779,0.98032,75.4885648784545,123.99400117309,18.0087178845265,80,-2.69344195437213,0.0016,47.814,-120.9548
"10","Navajo.Peak",50,49999,270.820363248983,256.088978280431,15.369131546284,40780,0.958504709533391,0.8156,70.870528607022,107.246966581235,13.3566812012735,77,-2.72346381754962,0.00154,47.4228,-120.8036
"11","Rock.Mountain",61,49999,302.047287284218,256.054045386207,13.86984717026,49778,3.3160597469762,0.99556,65.2894425894213,99.6862521885127,11.5293213582786,39,-2.98342014505415,0.00078,47.7996,-120.9745
"12","Braxon.Peak",27,49999,290.65097118779,256.280170802862,21.1711001326538,46284,1.62347729544367,0.92568,85.2750457774593,132.811347068119,20.5631353414931,313,-2.3117243796348,0.00626,44.0935,-114.9967
"13","Castle.Peak",53,49999,278.57803579066,256.182972777896,15.0221928969165,46011,1.49079852498509,0.92022,100.214507652657,104.847975751628,12.8104251111274,18344,-0.361695108380654,0.36688,44.0397,-114.5867
"14","D.O..Lee.Peak",51,49999,234.930649726341,256.064714681692,15.2224716871876,564,-1.38834647813066,0.01128,71.3548883637372,106.407398890195,13.1412436033163,116,-2.66736631513416,0.00232,44.1027,-114.6287
"15","Horstmann.Peak",36,49999,353.415702760312,256.132287919024,18.195685595392,49994,5.34650999168312,0.99988,85.9892876666611,120.343580322594,16.7946881542106,810,-2.04554513549096,0.0162,44.1127,-115.0012
"16","Hyndman.Peak",72,49999,243.511792023008,256.116224813753,12.780357936471,10163,-0.986234724676695,0.20326,57.1769305554806,93.5718802158831,10.1985231002358,5,-3.56864903895359,1e-04,43.7491,-114.1309
"17","Mount.Cramer",38,49999,280.715715128033,256.206693657354,17.767552992684,44077,1.37942582643606,0.88154,108.326728342116,118.142232429758,16.2219131841468,14084,-0.605076847361943,0.28168,44.011,-114.9826
"18","Salzburger.Spitzl",64,49999,267.102938756879,256.116174449415,13.5759883678823,39049,0.809279148577943,0.78098,92.6194079686844,97.859943738808,11.0953714374776,16214,-0.472317290110935,0.32428,43.7744,-114.1593
"19","Snowyside.Peak",36,49999,326.467379838106,256.264096604091,18.2840201125106,49889,3.83959779096829,0.99778,109.89617269445,120.398394604399,16.8581551557816,13681,-0.622975753449927,0.27362,43.9382,-114.9715
"20","Thompson.Peak",45,49999,286.282802739394,256.218370444281,16.2975714467041,47532,1.84471854554702,0.95064,70.6149307111111,111.244720272985,14.292553010356,57,-2.84272442666012,0.00114,44.1413,-115.0101
