"","X","ntaxa","runs","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","Latitude","Longitude"
"1","Cape.Horn",64,49999,300.601887660503,318.036899644901,26.3472312304213,13537,-0.661739817437303,0.27074,67.8460088423922,78.4410126891767,10.6753373649267,8471,-0.992474849703005,0.16942,47.6573,-120.917
"2","Cape.Horn.North",44,49999,296.082990956555,318.181365785049,33.8780239425431,12532,-0.652292319822818,0.25064,80.8411223407,97.2478757858466,15.5851903684927,7469,-1.05271434337529,0.14938,47.66009,-120.9113
"3","Cape.Horn.South",62,49999,297.930571279854,317.977779736172,27.003793053663,11068,-0.742384909278458,0.22136,82.6529352573452,79.8969368236618,11.0178633416162,29733,0.250139101224241,0.59466,47.65331,-120.9144
"4","Dewey.Peak",48,49999,362.759262116003,317.950730110932,32.2006948035338,45952,1.39153929064144,0.91904,90.7534311357375,92.5490578721282,14.3313734448937,23110,-0.125293416105247,0.4622,46.8418,-121.4846
"5","Earl.Peak",47,49999,367.141880902936,317.85903770147,32.4809781116326,46686,1.51728322441794,0.93372,93.6873739012277,93.5988202171607,14.6545910114664,25559,0.00604272640551389,0.51118,47.4096,-120.8437
"6","Garland.Peak",57,49999,315.806979039769,317.915803412512,28.4729372792493,23260,-0.0740641666878419,0.4652,75.6852486700544,83.8414015092736,12.0284609269682,13045,-0.678071192045267,0.2609,48.0157,-120.7107
"7","Green.Mountain",59,49999,337.259562305907,318.024911369968,27.7739935504306,37979,0.692541780173367,0.75958,82.3878011785661,82.1770208286402,11.574467040805,25555,0.0182108039344538,0.5111,48.2916,-121.2387
"8","Mt.Dickerman",79,49999,357.17977186866,318.043286594357,22.1732293414121,48178,1.76503317003126,0.96356,93.3071059698443,69.3699446754477,8.4970488996584,49942,2.81711469206196,0.99884,47.0687,-121.4704
"9","Mt.Howard",33,49999,304.262690441288,317.919463917073,40.7354172594398,21035,-0.335255519510377,0.4207,75.4885648787879,114.086012453437,20.6098916192019,1206,-1.87276324823991,0.02412,47.814,-120.9548
"10","Navajo.Peak",50,49999,270.820363249035,317.668543823823,31.1958900529484,2827,-1.50174207228176,0.05654,70.870528607108,90.3928934275325,13.7956428884012,3849,-1.41511091424656,0.07698,47.4228,-120.8036
"11","Rock.Mountain",61,49999,302.047287284267,317.89048212044,27.2623351900957,14451,-0.581138582799348,0.28902,65.2894425894705,80.6077228731991,11.1943088386423,4392,-1.36839893418435,0.08784,47.7996,-120.9745
"12","Braxon.Peak",27,49999,290.650971188034,278.946741092773,37.5255470512978,31066,0.31190031898167,0.62132,85.2750457777778,116.492093794725,24.9883364572336,5252,-1.24926475479365,0.10504,44.0935,-114.9967
"13","Castle.Peak",53,49999,278.578035790856,278.812377965499,23.7348497454904,24587,-0.0098733371879599,0.49174,100.21450765283,83.5114431461964,12.9376657338758,44917,1.29104158742475,0.89834,44.0397,-114.5867
"14","D.O..Lee.Peak",51,49999,235.073570833945,278.705218718503,24.5671869228081,1765,-1.77601318464549,0.0353,75.4721312854902,85.320220096234,13.4500557979906,11948,-0.7321968740245,0.23896,44.1027,-114.6287
"15","Horstmann.Peak",36,49999,353.415702760317,278.877002584336,31.2291806381733,49374,2.38682855754685,0.98748,85.9892876666667,101.823257556527,19.4780137650088,10974,-0.812915016946187,0.21948,44.1127,-115.0012
"16","Hyndman.Peak",72,49999,243.511792050861,278.693875950895,18.3983009572558,1534,-1.91224635262636,0.03068,57.1769305972222,70.4220660252359,8.73804829868038,3595,-1.51580020792675,0.0719,43.7491,-114.1309
"17","Mount.Cramer",38,49999,280.715715128023,278.650736910817,30.1883096752475,26699,0.0684032408379378,0.53398,108.326728342105,99.2133727161234,18.399645865385,34272,0.495300599405922,0.68544,44.011,-114.9826
"18","Salzburger.Spitzl",64,49999,267.102938788194,278.866947147816,20.3589857128915,14295,-0.577828803729285,0.2859,92.619407984375,75.1733079561119,10.2771084516514,48063,1.69756893296769,0.96126,43.7744,-114.1593
"19","Snowyside.Peak",36,49999,326.467379838095,278.551658563097,31.3100007366522,46310,1.53036474441558,0.9262,109.896172694444,101.917164426384,19.4928333961751,32961,0.409330347512559,0.65922,43.9382,-114.9715
"20","Thompson.Peak",45,49999,286.282802739394,278.599358476875,26.8784123618831,30559,0.285859304451153,0.61118,70.6149307111111,91.0895878005155,15.4794456900272,4802,-1.32269963016799,0.09604,44.1413,-115.0101
