"","X","ntaxa","runs","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","Latitude","Longitude"
"1","Cape.Horn",64,49999,300.601887660463,258.448610883261,14.6278390878241,49572,2.88171592017916,0.99144,67.8460088423562,93.5352504579211,11.3186208464612,393,-2.26964415223756,0.00786,47.6573,-120.917
"2","Cape.Horn.North",44,49999,296.08299095651,258.53586107509,17.7118586882587,48141,2.11988648635221,0.96282,80.8411223406546,108.725981352458,14.9299425755264,1246,-1.86771374844491,0.02492,47.66009,-120.9113
"3","Cape.Horn.South",62,49999,297.930571279812,258.450605173503,14.8291260605645,49317,2.66232588117913,0.98634,82.6529352573032,94.794789893022,11.5490275431966,7296,-1.05133134286024,0.14592,47.65331,-120.9144
"4","Dewey.Peak",48,49999,362.759262116124,258.381097518827,16.8637399027599,49998,6.18950275556697,0.99996,90.7534311358583,105.032362594592,14.0625125325801,7699,-1.01538977658879,0.15398,46.8418,-121.4846
"5","Earl.Peak",47,49999,367.141880902894,258.457694544091,17.0941771022578,50000,6.35796538836891,1,93.6873739011425,105.924135498181,14.2749086687682,9922,-0.857221708452053,0.19844,47.4096,-120.8437
"6","Garland.Peak",57,49999,315.806979039734,258.527524481225,15.5835642697711,49901,3.67563245268727,0.99802,75.6852486700368,98.0527499466292,12.3737860241533,1488,-1.80765217961031,0.02976,48.0157,-120.7107
"7","Green.Mountain",59,49999,337.259562305853,258.488526011355,15.2394164893196,49996,5.16890107634394,0.99992,82.387801178461,96.6616518768,12.0635604412491,5762,-1.18322039068434,0.11524,48.2916,-121.2387
"8","Mt.Dickerman",79,49999,357.17977186886,258.396494357354,13.0259725473453,50000,7.5835625441755,1,93.3071059700304,85.6836067584302,9.658719309914,39353,0.789286753966973,0.78706,47.0687,-121.4704
"9","Mt.Howard",33,49999,304.262690441227,258.438452830123,20.4876522926215,48581,2.23667587464904,0.97162,75.4885648787273,121.559638986513,18.4212085955425,146,-2.5009799910161,0.00292,47.814,-120.9548
"10","Navajo.Peak",50,49999,270.820363248995,258.461892727938,16.5348433121243,38593,0.747419874973612,0.77186,70.870528607028,103.485146408431,13.5949916999414,265,-2.39901711757159,0.0053,47.4228,-120.8036
"11","Rock.Mountain",61,49999,302.047287284365,258.435330860821,15.0366758391115,49572,2.9003721893177,0.99144,65.2894425895688,95.4655285999074,11.7108861168564,118,-2.57675514126159,0.00236,47.7996,-120.9745
"12","Braxon.Peak",27,49999,290.650971187938,249.466989444126,17.4361274088634,48259,2.36199132858348,0.96518,85.2750457776444,120.336788617312,19.8772994158364,1623,-1.76390877383139,0.03246,44.0935,-114.9967
"13","Castle.Peak",53,49999,278.578035790736,249.424966538349,12.3885684620719,48738,2.35322340443451,0.97476,100.214507652723,92.7978180873895,12.1975416720945,36685,0.608047897249744,0.7337,44.0397,-114.5867
"14","D.O..Lee.Peak",51,49999,235.07357083391,249.478501546809,12.6298305526305,2143,-1.14054821661082,0.04286,75.4721312853647,94.0348276642669,12.5489295223729,3298,-1.47922548658893,0.06596,44.1027,-114.6287
"15","Horstmann.Peak",36,49999,353.415702760312,249.337982464842,15.0335647120873,50000,6.92302340055044,1,85.9892876666611,107.754478348216,16.2094721725164,4298,-1.34274518318116,0.08596,44.1127,-115.0012
"16","Hyndman.Peak",72,49999,243.511792023064,249.462595702321,10.557245977878,19906,-0.563670079462641,0.39812,57.1769305555361,82.0985413567595,9.6901826221374,129,-2.5718411894828,0.00258,43.7491,-114.1309
"17","Mount.Cramer",38,49999,280.715715128033,249.486144492389,14.7542267456597,47367,2.11665248026849,0.94734,108.326728342116,105.628448442192,15.6246780711375,28903,0.17269347167596,0.57806,44.011,-114.9826
"18","Salzburger.Spitzl",64,49999,267.102938756941,249.428918924548,11.172628055864,46071,1.58190353639465,0.92142,92.6194079687469,86.034282759529,10.5375317346382,36856,0.624921032272837,0.73712,43.7744,-114.1593
"19","Snowyside.Peak",36,49999,326.467379838106,249.349683164003,14.9934574748376,49987,5.14342317664383,0.99974,109.89617269445,107.733154558587,16.2340677605411,28265,0.133239442373199,0.5653,43.9382,-114.9715
"20","Thompson.Peak",45,49999,286.282802739394,249.403789320297,13.4441467228947,49258,2.74312785922617,0.98516,70.6149307111111,98.8719555313131,13.7707858495326,790,-2.05195441487176,0.0158,44.1413,-115.0101
