Character,Description
Chocolate,"Presence or absence of chocolate. 0 = Absent, 1 = Present."
Caramel,"Presence or absence of caramel. 0 = Absent, 1 = Present."
Nougat,"Presence or absence of nougat. 0 = Absent, 1 = Present."
Toffee,"Presence or absence of toffee. 0 = Absent, 1 = Present."
Wafer,"Presence or absence of wafer. 0 = Absent, 1 = Present."
Lollipop,"Presence or absence of a lollipop (stick). 0 = Absent, 1 = Present."
Hard Candy,"Presence or absence of hard candy. Hard candy is defined as candy that cannot easily be chewed. For example, peanuts are hard but they can easily be chewed; jolly ranchers are hard cand cannot be chewed. 0 = Not hard, 1 = Hard."
Peanuts,"Presence or absence of peanuts. Both whole peanuts and peanut butter was counted as presence of peanuts. 0 = Absent, 1 = Present."
Almonds,"Presence or absence of almonds. Both whole almonds and almond butter was counted as presence of peanuts. 0 = Absent, 1 = Present."
Shape,"Shape of the candy. Candies were classified into shape categories based on shape and size as best as possible. A representative of each shape is given in parentheses to provide an example. 0 = candy bar (Snickers), 1 = ball (Blow Pops), 2 = patty (Reese's), 3 = rope (Red Vines), 4 = small spheroid (M&M's), 5 = rectangular prism (Starbursts), 6 = log (Tootsie Rolls), 7 = other (Runts). "
Sour,"Presence or absence of sour flavor. 0 = Absent, 1 = Present."
Crunchy,"Presence or absence of crunchy texture. 0 = Absent, 1 = Present."
Mint,"Presence or absence of mint flavor. 0 = Absent, 1 = Present."
Coconut,"Presence or absence of coconut flakes or coconut flavor. 0 = Absent, 1 = Present."
Shell,"Presence or absence of a shell. Shell is broadly defined, including the outer layer of chocolate or hard candy, but does not include the outer coating of candy bars. 0 = Absent, 1 = Present."
Biscuit,"Presence or absence of biscuits. 0 = Absent, 1 = Present."
Rice,"Presence or absence of puffed rice. 0 = Absent, 1 = Present."
Segmented,"Presence or absence of divisions meant for cutting or breaking. 0 = Absent, 1 = Present."
Gummy,"Presence or absence of chewy texture. 0 = Absent, 1 = Present."
Fruit-Flavored,"Presence or absence of fruit flavor. 0 = Absent, 1 = Present."
Malt,"Presence or absence of malt. 0 = Absent, 1 = Present."
Mousse,"Presence or absence of mousse. 0 = Absent, 1 = Present."
